id	sentence	code	depth	sentence_complexity	program_complexity	num_functions	num_entities	num_pp	num_filters	score	function_signature	queries	actions
2000000835	turn off my security camera	now => @security-camera.set_power(power=enum(off));	2	5	9	1	0	0	0	4.95	@security-camera.set_power	[]	"[""@security-camera.set_power""]"
1000000129	please have my security camera start recording	now => @security-camera.set_power(power=enum(on));	1	7	9	1	0	0	0	4.15	@security-camera.set_power	[]	"[""@security-camera.set_power""]"
1000000053	make my lg tv louder	now => @com.lg.tv.webos2.raise_volume();	1	5	5	1	0	0	0	3.75	@com.lg.tv.webos2.raise_volume	[]	"[""@com.lg.tv.webos2.raise_volume""]"
1000000477	make my lg tv quieter	now => @com.lg.tv.webos2.lower_volume();	1	5	5	1	0	0	0	3.75	@com.lg.tv.webos2.lower_volume	[]	"[""@com.lg.tv.webos2.lower_volume""]"
1000000310	i want to shut up my lg tv	now => @com.lg.tv.webos2.mute();	1	8	5	1	0	0	0	4.05	@com.lg.tv.webos2.mute	[]	"[""@com.lg.tv.webos2.mute""]"
1000000143	please restore the volume on my lg tv	now => @com.lg.tv.webos2.unmute();	1	8	5	1	0	0	0	4.05	@com.lg.tv.webos2.unmute	[]	"[""@com.lg.tv.webos2.unmute""]"
1000000472	shut off my lg tv	now => @com.lg.tv.webos2.set_power(power=enum(off));	1	5	9	1	0	0	0	3.95	@com.lg.tv.webos2.set_power	[]	"[""@com.lg.tv.webos2.set_power""]"
1000000228	i need you to change the volume of my lg tv	now => @com.lg.tv.webos2.set_volume();	1	11	5	1	0	0	0	4.35	@com.lg.tv.webos2.set_volume	[]	"[""@com.lg.tv.webos2.set_volume""]"
1000000484	call ambulance	now => @org.thingpedia.builtin.thingengine.phone.call_emergency();	1	2	5	1	0	0	0	3.45	@org.thingpedia.builtin.thingengine.phone.call_emergency	[]	"[""@org.thingpedia.builtin.thingengine.phone.call_emergency""]"
2000001007	please set my phone to vibrate	now => @org.thingpedia.builtin.thingengine.phone.set_ringer(mode=enum(vibrate));	2	6	9	1	0	0	0	5.050000000000001	@org.thingpedia.builtin.thingengine.phone.set_ringer	[]	"[""@org.thingpedia.builtin.thingengine.phone.set_ringer""]"
1000000488	hey turn off ringer and vibration in my phone	now => @org.thingpedia.builtin.thingengine.phone.set_ringer(mode=enum(silent));	1	9	9	1	0	0	0	4.3500000000000005	@org.thingpedia.builtin.thingengine.phone.set_ringer	[]	"[""@org.thingpedia.builtin.thingengine.phone.set_ringer""]"
1000000409	i 'd like to call my friend	now => @org.thingpedia.builtin.thingengine.phone.call();	1	7	5	1	0	0	0	3.95	@org.thingpedia.builtin.thingengine.phone.call	[]	"[""@org.thingpedia.builtin.thingengine.phone.call""]"
1000000411	i 'd like to send an email to somebody	now => @com.gmail.send_email();	1	9	5	1	0	0	0	4.15	@com.gmail.send_email	[]	"[""@com.gmail.send_email""]"
1000000328	i want to send a picture via email	now => @com.gmail.send_picture();	1	8	5	1	0	0	0	4.05	@com.gmail.send_picture	[]	"[""@com.gmail.send_picture""]"
1000000334	i want to tweet something	now => @com.twitter.post();	1	5	5	1	0	0	0	3.75	@com.twitter.post	[]	"[""@com.twitter.post""]"
4000005330	notify me anytime my security camera live feed update	monitor (@security-camera.current_event()) => notify;	4	9	7	1	0	0	0	7.25	@security-camera.current_event	"[""@security-camera.current_event""]"	[]
2000000594	send me a message when i move	monitor (@org.thingpedia.builtin.thingengine.phone.get_gps()) => notify;	2	7	7	1	0	0	0	5.05	@org.thingpedia.builtin.thingengine.phone.get_gps	"[""@org.thingpedia.builtin.thingengine.phone.get_gps""]"	[]
2000000534	i get notified when i receive a sms	monitor (@org.thingpedia.builtin.thingengine.phone.sms()) => notify;	2	8	7	1	0	0	0	5.1499999999999995	@org.thingpedia.builtin.thingengine.phone.sms	"[""@org.thingpedia.builtin.thingengine.phone.sms""]"	[]
2000000535	i get notified when i receive an email on gmail	monitor (@com.gmail.inbox()) on new [email_id] => notify;	2	10	8	1	0	0	0	5.4	@com.gmail.inbox	"[""@com.gmail.inbox""]"	[]
